feedback_id,customer_id,product_id,product_name,rating,category,title,content,submit_date,status,reply
FB001,C10086,P001,智云音箱 Pro,5,好评,音质超出预期,"音箱的低音效果非常棒，20W低音炮名不虚传。语音识别也很灵敏，8米远场拾音确实好用。灵犀大模型的对话体验比上一代好太多，支持多轮对话非常方便。",2025-04-05,已回复,"感谢您对智云音箱 Pro 的认可！我们会持续优化灵犀大模型的对话体验，为您提供更好的服务。"
FB002,C10032,P002,智云安防摄像头 S2,4,好评,画质清晰AI识别准确,"4K画质确实清楚，夜视效果也不错。人形检测很准，以前用其他品牌的老是误报，这个基本没有误报了。唯一不足是不支持5GHz Wi-Fi。",2025-04-06,已回复,"感谢您的反馈！S2选择2.4GHz是为了更好的穿墙能力和稳定性。我们下一代产品会支持双频Wi-Fi，请期待！"
FB003,C10156,P004,智云智能灯泡 L1,3,中评,功能够用但APP偶尔卡顿,"灯泡本身不错，亮度和色温都够用。但是智云APP在安卓上偶尔会卡顿，特别是添加场景的时候。希望优化APP性能。",2025-04-07,已回复,"非常抱歉给您带来不好的体验！我们的开发团队已经在优化安卓端性能，预计在 v2.6 版本中会有大幅提升。"
FB004,C10203,P003,智云安防摄像头 S2 套装,5,好评,套装性价比很高,"买套装比单买划算多了，NVR主机管理多个摄像头很方便。安装也不复杂，APP引导很清晰。已经推荐给邻居了。",2025-04-08,已回复,"谢谢您的推荐！如果您的邻居通过您的推荐链接购买，您和邻居都可以获得50元优惠券哦。"
FB005,C10045,P012,智云智能门锁 L2,4,好评,指纹识别很快,"指纹解锁速度很快，大概0.3秒。密码键盘触感也不错。安装师傅很专业。唯一建议是APP里能不能增加临时密码的有效时间设置？",2025-04-09,已回复,"感谢您的建议！临时密码时间自定义功能已经在开发中，预计在5月中旬通过OTA推送到您的设备。"
FB006,C10312,P006,智云智能插座 P1,5,好评,便宜好用,"59块钱的智能插座，做工和质感都超出了预期。配合人体传感器实现人走断电，一个月电费省了不少。",2025-04-09,已回复,"很高兴看到智云产品为您节省了电费！我们也在开发智能用电分析功能，帮您更精准地了解家庭用电情况。"
FB007,C10086,P010,智云中控屏,4,好评,全屋控制中枢,"中控屏作为家庭控制中心非常好用，7寸屏幕操作很流畅。Zigbee设备管理也很方便。建议屏幕亮度自动调节可以更灵敏一些。",2025-04-10,已回复,"感谢使用中控屏！亮度自适应的灵敏度问题我们已记录，将在下次固件更新中调整。"
FB008,C10445,P017,智云智能晾衣架,2,差评,安装复杂售后响应慢,"晾衣架本身功能还行，但是安装过程非常复杂，说明书不够详细。联系售后等了3天才有人回复。希望能改善售后服务。",2025-04-11,已回复,"非常抱歉给您带来不便！我们已安排售后服务专员明天上门为您检查和调整。安装说明书我们也正在重新编写，感谢您的反馈。"
FB009,C10501,P019,智云音箱 Mini,4,好评,小巧但声音不小,"体积比Pro小很多，但是声音表现不错，适合放在卧室。语音控制家里的灯和空调很方便。",2025-04-12,已回复,"谢谢您的认可！音箱 Mini 专为卧室和小空间设计，如果您需要更大的音量或低音效果，可以考虑搭配智云音箱 Pro 使用多房间播放。"
FB010,C10623,P020,智云智能猫眼,3,中评,功能齐全但续航一般,"猫眼的可视范围很广，访客拍照和录像功能都很好。但电池续航只有3个月左右，希望能更持久一些。",2025-04-13,已回复,"感谢您的反馈！续航问题我们非常重视。下一代猫眼将采用更大容量电池（5000mAh），预计续航可达6个月。当前版本您可以在APP中开启省电模式延长续航。"
FB011,C10032,P011,智云窗帘电机,5,好评,静音效果极好,"电机运行时几乎听不到声音，比之前用的其他品牌安静多了。配合光线传感器自动开合窗帘，早上被自然光唤醒的感觉太好了。",2025-04-13,已回复,"感谢您的好评！静音是智云窗帘电机的核心优势，我们采用的是日本进口无刷电机。祝您每天都在阳光中醒来！"
FB012,C10789,P015,智云 NVR 录像主机,4,好评,监控管理很方便,"4路NVR接了4个摄像头，在电视上就能看到全部画面。回放和截图功能也很好用。希望能支持8路的。",2025-04-14,已回复,"感谢您的建议！8路 NVR（ZY-NVR800）已经在研发中，预计2025年Q3发布，届时会在商城第一时间通知您。"
FB013,C10086,P007,智云温湿度传感器,4,好评,数据准确反应快,"传感器数据和专业温度计对比误差在0.5°C以内，数据很准确。联动空调和加湿器的效果也很好。电池已经用了4个月还有电。",2025-04-15,已回复,"感谢您的详细反馈！我们使用的是瑞士Sensirion高精度传感器，设计续航为12个月（CR2032电池）。"
FB014,C10203,P016,智云空气检测仪,3,中评,检测全面但数据延迟,"可以检测PM2.5、CO2、甲醛等多项指标，功能很全面。但是数据更新有5-10秒延迟，不能实时反映空气质量变化。",2025-04-16,已回复,"感谢您的反馈！数据延迟问题是因为我们为了数据稳定性做了多次采样取平均。下个版本我们会提供'实时模式'选项，延迟将降至1秒以内。"
FB015,C10312,P009,智云门窗传感器,5,好评,小巧隐蔽安装方便,"传感器很小，贴在门框上几乎看不到。配合空调和灯光的联动效果很好，出门自动关空调省了不少电。",2025-04-17,已回复,"谢谢您的好评！门窗传感器的设计理念就是小巧隐蔽。建议您试试和智能场景结合，可以实现更丰富的自动化。"
